,type,title,director,country,release_year,rating,listed_in,IMDB_Rating
60,Movie,Jaws,Steven Spielberg,United States,1975,PG,"Action & Adventure, Classic Movies, Dramas",8.0
65,Movie,Training Day,Antoine Fuqua,United States,2001,R,"Dramas, Thrillers",7.7
201,Movie,Do the Right Thing,Spike Lee,United States,1989,R,"Classic Movies, Comedies, Dramas",8.0
227,Movie,Once Upon a Time in America,Sergio Leone,Italy,1984,R,"Classic Movies, Dramas",8.4
266,Movie,Wind River,Taylor Sheridan,United Kingdom,2017,R,"Dramas, Independent Movies",7.7
468,Movie,Catch Me If You Can,Steven Spielberg,United States,2002,PG-13,Dramas,8.1
472,Movie,Ferris Bueller's Day Off,John Hughes,United States,1986,PG-13,"Classic Movies, Comedies, Cult Movies",7.8
478,Movie,Inception,Christopher Nolan,United States,2010,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",8.8
479,Movie,Magnolia,Paul Thomas Anderson,United States,1999,R,"Dramas, Independent Movies",8.0
501,Movie,The Machinist,Brad Anderson,Spain,2004,R,"Dramas, Independent Movies, Thrillers",7.7
539,Movie,Django Unchained,Quentin Tarantino,United States,2012,R,"Action & Adventure, Dramas",8.4
714,Movie,Boogie Nights,Paul Thomas Anderson,United States,1997,R,"Comedies, Dramas, Independent Movies",7.9
738,Movie,Seven Pounds,Gabriele Muccino,United States,2008,PG-13,"Dramas, Romantic Movies",7.6
741,Movie,Star Trek,J.J. Abrams,United States,2009,PG-13,"Action & Adventure, Sci-Fi & Fantasy",7.9
747,Movie,The Game,David Fincher,United States,1997,R,Thrillers,7.8
778,TV Show,Ray,"Srijit Mukherji, Vasan Bala, Abhishek Chaubey",Not Given,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",7.7
811,Movie,Silver Linings Playbook,David O. Russell,United States,2012,R,"Comedies, Dramas, Independent Movies",7.7
867,Movie,Flipped,Rob Reiner,United States,2010,PG,"Comedies, Dramas, Romantic Movies",7.7
871,Movie,I Am Sam,Jessie Nelson,United States,2001,PG-13,Dramas,7.7
873,Movie,Million Dollar Baby,Clint Eastwood,United States,2004,PG-13,"Dramas, Sports Movies",8.1
891,Movie,The Outlaw Josey Wales,Clint Eastwood,United States,1976,PG,"Action & Adventure, Classic Movies",7.8
969,Movie,Hachi: A Dog's Tale,Lasse Hallström,United Kingdom,2009,G,"Children & Family Movies, Dramas",8.1
972,Movie,Mystic River,Clint Eastwood,United States,2003,R,"Dramas, Thrillers",7.9
1019,Movie,Vizontele,"Yılmaz Erdoğan, Ömer Faruk Sorak",Turkey,2001,TV-MA,"Comedies, Dramas, International Movies",8.0
1037,Movie,Taare Zameen Par,Aamir Khan,India,2007,PG,"Dramas, International Movies",8.4
1045,Movie,Rush,Ron Howard,United Kingdom,2013,R,"Action & Adventure, Dramas, International Movies",8.1
1096,Movie,3 Idiots,Rajkumar Hirani,India,2009,PG-13,"Comedies, Dramas, International Movies",8.4
1105,Movie,My Fair Lady,George Cukor,United States,1964,G,"Classic Movies, Music & Musicals",7.8
1115,Movie,The Pianist,Roman Polański,United Kingdom,2002,R,"Dramas, Independent Movies, International Movies",8.5
1141,Movie,Philomena,Stephen Frears,United Kingdom,2013,PG-13,"Dramas, Independent Movies, International Movies",7.6
1195,Movie,Dances with Wolves,Kevin Costner,United States,1990,PG-13,"Action & Adventure, Classic Movies, Dramas",8.0
1198,Movie,Rain Man,Barry Levinson,United States,1988,R,"Classic Movies, Dramas",8.0
1202,Movie,Captain Fantastic,Matt Ross,United States,2016,R,"Comedies, Dramas, Independent Movies",7.9
1264,Movie,Shutter Island,Martin Scorsese,United States,2010,R,Thrillers,8.2
1307,Movie,The Intouchables,"Olivier Nakache, Éric Toledano",France,2011,R,"Comedies, Dramas, International Movies",8.5
1329,Movie,Into the Wild,Sean Penn,United States,2007,R,"Action & Adventure, Dramas, Independent Movies",8.1
1337,Movie,What's Eating Gilbert Grape,Lasse Hallström,United States,1993,PG-13,"Classic Movies, Dramas, Independent Movies",7.8
1562,Movie,Rebecca,Ben Wheatley,United Kingdom,2020,PG-13,"Dramas, Romantic Movies, Thrillers",8.1
1586,Movie,The Trial of the Chicago 7,Aaron Sorkin,United States,2020,R,Dramas,7.8
1634,Movie,Hunt for the Wilderpeople,Taika Waititi,New Zealand,2016,PG-13,"Action & Adventure, Comedies, Dramas",7.9
1652,Movie,Jab We Met,Imtiaz Ali,India,2007,TV-14,"Comedies, International Movies, Music & Musicals",7.9
1672,Movie,Black,Raja Chanda,India,2015,TV-14,"Action & Adventure, International Movies",8.2
1696,Movie,How to Train Your Dragon 2,Dean DeBlois,United States,2014,PG,Children & Family Movies,7.8
1799,Movie,Sin City,Pascal Amanfo,Not Given,2019,TV-14,"International Movies, Thrillers",8.0
1861,Movie,Drishyam,Nishikant Kamat,India,2015,TV-14,"Dramas, International Movies, Thrillers",8.3
1862,Movie,Drishyam,Nishikant Kamat,India,2015,TV-14,"Dramas, International Movies, Thrillers",8.2
1879,Movie,Queen,Vikas Bahl,India,2014,TV-MA,"Comedies, Dramas, International Movies",8.2
1897,Movie,Stardust,Matthew Vaughn,United Kingdom,2007,PG-13,"Action & Adventure, International Movies, Romantic Movies",7.6
1910,Movie,Ordinary People,Eduardo Roy Jr.,Philippines,2016,TV-MA,"Dramas, Independent Movies, International Movies",7.7
1936,Movie,Dark Waters,Youssef Chahine,Egypt,1956,TV-14,"Classic Movies, Dramas, International Movies",7.6
2061,Movie,Andaz Apna Apna,Rajkumar Santoshi,India,1994,TV-14,"Action & Adventure, Comedies, Cult Movies",8.2
2090,Movie,Psycho,Mysskin,India,2020,TV-MA,"Horror Movies, International Movies, Thrillers",8.5
2123,Movie,The Artist,Michel Hazanavicius,France,2011,PG-13,"Comedies, Dramas, Independent Movies",7.9
2169,Movie,The Florida Project,Sean Baker,United States,2017,R,"Dramas, Independent Movies",7.6
2193,Movie,Kal Ho Naa Ho,Nikkhil Advani,India,2003,TV-14,"Comedies, Dramas, International Movies",8.0
2268,Movie,Freaks,"Adam B. Stein, Zach Lipovsky",United States,2018,R,"Independent Movies, Sci-Fi & Fantasy, Thrillers",7.9
2282,Movie,There Will Be Blood,Paul Thomas Anderson,United States,2007,R,"Dramas, Independent Movies",8.2
2293,Movie,Taxi Driver,Daniel Oriahi,Nigeria,2015,TV-MA,"Comedies, Dramas, Independent Movies",8.3
2405,Movie,Pan's Labyrinth,Guillermo del Toro,Mexico,2006,R,"Dramas, International Movies, Sci-Fi & Fantasy",8.2
2442,Movie,Dil Chahta Hai,Farhan Akhtar,India,2001,TV-14,"Comedies, Dramas, International Movies",8.1
2459,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,India,2011,TV-14,"Comedies, Dramas, International Movies",8.1
2477,Movie,Marriage Story,Noah Baumbach,United Kingdom,2019,R,Dramas,7.9
2511,Movie,The Irishman,Martin Scorsese,United States,2019,R,Dramas,7.9
2540,Movie,Klaus,Sergio Pablos,Spain,2019,PG,"Children & Family Movies, Comedies",8.2
2572,Movie,Drive,Tarun Mansukhani,India,2019,TV-14,"Action & Adventure, International Movies",7.8
2782,Movie,Kahaani,Sujoy Ghosh,India,2012,TV-14,"International Movies, Music & Musicals, Thrillers",8.1
2889,Movie,About Time,Richard Curtis,United Kingdom,2013,R,"Comedies, Dramas, International Movies",7.8
2905,TV Show,Persona,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan",South Korea,2019,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas",8.1
3087,Movie,Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",United Kingdom,1975,PG,"Action & Adventure, Classic Movies, Comedies",8.2
3115,TV Show,Watership Down,Noam Murro,United Kingdom,2018,TV-PG,"British TV Shows, International TV Shows, TV Action & Adventure",7.6
3129,Movie,Andhadhun,Sriram Raghavan,India,2018,TV-14,"Comedies, Dramas, International Movies",8.3
3134,Movie,The Theory of Everything,James Marsh,United Kingdom,2014,PG-13,"Dramas, Romantic Movies",7.7
3184,Movie,Sabrina,Rocky Soraya,Indonesia,2018,TV-MA,"Horror Movies, International Movies",7.7
3216,Movie,Barfi!,Anurag Basu,India,2012,TV-14,"Comedies, Dramas, International Movies",8.1
3243,Movie,Paan Singh Tomar,Tigmanshu Dhulia,India,2010,TV-14,"Action & Adventure, Dramas, International Movies",8.2
3313,Movie,Dev.D,Anurag Kashyap,India,2009,TV-MA,"Dramas, International Movies, Romantic Movies",8.0
3356,Movie,Udaan,Vikramaditya Motwane,India,2010,TV-MA,"Dramas, Independent Movies, International Movies",8.2
3378,Movie,PK,Rajkumar Hirani,India,2014,TV-14,"Comedies, Dramas, International Movies",8.1
3422,Movie,Haider,Vishal Bhardwaj,India,2014,TV-MA,"Dramas, International Movies, Romantic Movies",8.1
3425,Movie,Joker,Shirish Kunder,India,2012,TV-PG,"Comedies, International Movies, Music & Musicals",8.5
3430,Movie,Rang De Basanti,Rakeysh Omprakash Mehra,India,2006,TV-14,"Dramas, International Movies",8.2
3748,Movie,The Hateful Eight,Quentin Tarantino,United States,2015,R,"Action & Adventure, Thrillers",7.8
3828,Movie,Naked,Michael Tiddes,United States,2017,TV-14,"Comedies, Romantic Movies",7.8
3881,Movie,Dangal,Nitesh Tiwari,India,2016,TV-PG,"Dramas, International Movies, Sports Movies",8.4
4037,Movie,Pink,Aniruddha Roy Chowdhury,India,2016,TV-14,"Dramas, International Movies",8.1
4058,Movie,Udta Punjab,Abhishek Chaubey,India,2016,TV-MA,"Dramas, International Movies",7.8
4200,Movie,Beasts of No Nation,Cary Joji Fukunaga,United States,2015,TV-MA,"Dramas, Independent Movies",7.7
4301,Movie,50/50,Jonathan Levine,United States,2011,R,"Comedies, Dramas, Independent Movies",7.6
4313,Movie,A Clockwork Orange,Stanley Kubrick,United Kingdom,1971,R,"Classic Movies, Cult Movies, Dramas",8.3
4342,Movie,A Wednesday,Neeraj Pandey,India,2008,TV-MA,"Action & Adventure, Dramas, International Movies",8.1
4405,Movie,American Beauty,Sam Mendes,United States,1999,R,Dramas,8.3
4412,Movie,American History X,Tony Kaye,United States,1998,R,Dramas,8.5
4415,Movie,American Psycho,Mary Harron,United States,2000,R,"Comedies, Cult Movies, Dramas",7.6
4451,Movie,As Good as It Gets,James L. Brooks,United States,1997,PG-13,"Comedies, Romantic Movies",7.7
4461,Movie,Avengers: Infinity War,"Anthony Russo, Joe Russo",United States,2018,PG-13,"Action & Adventure, Sci-Fi & Fantasy",8.4
4549,Movie,Billy Elliot,Stephen Daldry,United Kingdom,2000,R,"Dramas, Independent Movies, International Movies",7.7
4559,Movie,Black Hawk Down,Ridley Scott,United States,2001,R,"Action & Adventure, Dramas",7.7
4571,Movie,Blow,Ted Demme,United States,2001,R,Dramas,7.6
4590,Movie,Bonnie and Clyde,Arthur Penn,United States,1967,R,"Action & Adventure, Classic Movies, Dramas",7.8
4639,Movie,Casino Royale,Martin Campbell,United Kingdom,2006,PG-13,Action & Adventure,8.0
4642,Movie,Cat on a Hot Tin Roof,Richard Brooks,United States,1958,NR,"Classic Movies, Dramas",8.0
4719,Movie,Cool Hand Luke,Stuart Rosenberg,United States,1967,TV-14,"Classic Movies, Dramas",8.1
4721,Movie,Coraline,Henry Selick,United States,2009,PG,Children & Family Movies,7.7
4725,Movie,Crash,Paul Haggis,United States,2004,R,"Dramas, Independent Movies",7.7
4738,Movie,Dallas Buyers Club,Jean-Marc Vallée,United States,2013,R,"Dramas, Independent Movies, LGBTQ Movies",8.0
4787,Movie,District 9,Neill Blomkamp,South Africa,2009,R,"Action & Adventure, International Movies, Sci-Fi & Fantasy",7.9
4788,Movie,Doctor Zhivago,David Lean,United States,1965,PG-13,"Classic Movies, Dramas, Romantic Movies",8.0
4802,Movie,Donnie Brasco,Mike Newell,United States,1997,R,"Dramas, Thrillers",7.7
4846,Movie,End of Watch,David Ayer,United States,2012,R,Action & Adventure,7.6
4850,Movie,Enter the Dragon,Robert Clouse,Hong Kong,1973,R,"Action & Adventure, Classic Movies",7.7
4863,Movie,Ex Machina,Alex Garland,United Kingdom,2015,R,"Dramas, Independent Movies, International Movies",7.7
4883,Movie,Fear and Loathing in Las Vegas,Terry Gilliam,United States,1998,R,"Comedies, Cult Movies, Dramas",7.6
4885,Movie,Fiddler on the Roof,Norman Jewison,United States,1971,G,"Classic Movies, Dramas, Music & Musicals",8.0
4977,Movie,God's Own Country,Francis Lee,United Kingdom,2017,TV-MA,"Dramas, Independent Movies, International Movies",7.7
4999,Movie,Gran Torino,Clint Eastwood,Germany,2008,R,Dramas,8.1
5048,Movie,Hell or High Water,David Mackenzie,United States,2016,R,"Dramas, Independent Movies",7.6
5050,Movie,Her,Spike Jonze,United States,2013,R,"Dramas, Romantic Movies, Sci-Fi & Fantasy",8.0
5052,Movie,Hera Pheri,Prakash Mehra,India,1976,TV-14,"Action & Adventure, Comedies, Dramas",8.2
5123,Movie,"I, Daniel Blake",Ken Loach,United Kingdom,2016,R,"Dramas, Independent Movies",7.9
5143,Movie,Indiana Jones and the Last Crusade,Steven Spielberg,United States,1989,PG-13,"Action & Adventure, Children & Family Movies, Classic Movies",8.2
5149,Movie,Inglourious Basterds,Quentin Tarantino,Germany,2009,R,Action & Adventure,8.3
5244,Movie,Kill Bill: Vol. 1,Quentin Tarantino,United States,2003,R,Action & Adventure,8.1
5245,Movie,Kill Bill: Vol. 2,Quentin Tarantino,United States,2004,R,Action & Adventure,8.0
5341,Movie,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,United Kingdom,1998,R,"Action & Adventure, Comedies, Independent Movies",8.2
5488,Movie,Moon,Duncan Jones,United Kingdom,2009,R,"Dramas, Independent Movies, Sci-Fi & Fantasy",7.9
5552,Movie,Nightcrawler,Dan Gilroy,United States,2014,R,"Dramas, Independent Movies, Thrillers",7.9
5590,Movie,Ocean's Eleven,Lewis Milestone,United States,1960,TV-PG,"Action & Adventure, Classic Movies, Comedies",7.7
5610,Movie,Once Upon a Time in the West,Sergio Leone,Italy,1968,PG-13,"Action & Adventure, Classic Movies, International Movies",8.5
5669,Movie,Philadelphia,Jonathan Demme,United States,1993,PG-13,"Classic Movies, Dramas, LGBTQ Movies",7.7
5684,Movie,Platoon,Oliver Stone,United States,1986,R,"Action & Adventure, Classic Movies, Dramas",8.1
5699,Movie,Primal Fear,Gregory Hoblit,United States,1996,R,"Dramas, Thrillers",7.7
5705,Movie,Pulp Fiction,Quentin Tarantino,United States,1994,R,"Classic Movies, Cult Movies, Dramas",8.9
5717,Movie,Raging Bull,Martin Scorsese,United States,1980,R,"Classic Movies, Dramas, Sports Movies",8.2
5734,Movie,Rebel Without a Cause,Nicholas Ray,United States,1955,PG-13,"Classic Movies, Dramas",7.7
5765,Movie,Rocky,John G. Avildsen,United States,1976,PG,"Action & Adventure, Classic Movies, Dramas",8.1
5775,Movie,Room,Lenny Abrahamson,Ireland,2015,R,"Dramas, Independent Movies",8.1
5778,Movie,Rosemary's Baby,Roman Polanski,United States,1968,R,"Classic Movies, Horror Movies, Thrillers",8.0
5836,Movie,Schindler's List,Steven Spielberg,United States,1993,R,"Classic Movies, Dramas",8.9
5871,Movie,Sherlock Holmes,Guy Ritchie,United States,2009,PG-13,"Action & Adventure, Comedies",7.6
5877,Movie,Short Term 12,Destin Daniel Cretton,United States,2013,R,"Dramas, Independent Movies",8.0
5901,Movie,Sling Blade,Billy Bob Thornton,United States,1996,R,"Dramas, Independent Movies",8.0
5926,Movie,Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Bob Persichetti",United States,2018,PG,"Action & Adventure, Comedies",8.4
5928,Movie,Spotlight,Tom McCarthy,United States,2015,R,"Dramas, Independent Movies",8.1
6091,Movie,The Departed,Martin Scorsese,United States,2006,R,"Dramas, Thrillers",8.5
6113,Movie,The Fighter,David O. Russell,United States,2010,R,"Dramas, Sports Movies",7.8
6136,Movie,The Girl with the Dragon Tattoo,David Fincher,United States,2011,R,"Dramas, Thrillers",7.8
6151,Movie,The Help,Tate Taylor,United States,2011,PG-13,Dramas,8.0
6179,Movie,The King's Speech,Tom Hooper,United Kingdom,2010,R,"Dramas, International Movies",8.0
6193,Movie,The Little Mermaid,"Blake Harris, Chris Bouchard",United States,2018,PG,"Children & Family Movies, Dramas",7.6
6195,Movie,The Lives of Others,Florian Henckel von Donnersmarck,Germany,2006,R,"Dramas, International Movies, Thrillers",8.4
6202,Movie,The Lord of the Rings: The Return of the King,Peter Jackson,New Zealand,2003,PG-13,"Action & Adventure, Sci-Fi & Fantasy",8.9
6203,Movie,The Lord of the Rings: The Two Towers,Peter Jackson,New Zealand,2002,PG-13,"Action & Adventure, Sci-Fi & Fantasy",8.7
6211,Movie,The Matrix,"Lilly Wachowski, Lana Wachowski",United States,1999,R,"Action & Adventure, Sci-Fi & Fantasy",8.7
6226,Movie,The Naked Gun: From the Files of Police Squad!,David Zucker,United States,1988,PG-13,"Comedies, Cult Movies",7.6
6241,Movie,The Perks of Being a Wallflower,Stephen Chbosky,United States,2012,PG-13,"Comedies, Dramas",8.0
6260,Movie,The Pursuit of Happyness,Gabriele Muccino,United States,2006,PG-13,Dramas,8.0
6296,Movie,The Social Network,David Fincher,United States,2010,PG-13,Dramas,7.7
6352,Movie,Thor: Ragnarok,Taika Waititi,United States,2017,PG-13,"Action & Adventure, Comedies, Sci-Fi & Fantasy",7.9
6380,Movie,Trainspotting,Danny Boyle,United Kingdom,1996,R,"Comedies, Cult Movies, Dramas",8.1
6399,Movie,True Grit,Henry Hathaway,United States,1969,G,"Classic Movies, Dramas",7.6
6428,Movie,V for Vendetta,James McTeigue,United States,2005,R,"Action & Adventure, Dramas, Sci-Fi & Fantasy",8.2
6493,Movie,Willy Wonka & the Chocolate Factory,Mel Stuart,United States,1971,G,"Children & Family Movies, Classic Movies, Comedies",7.8
6539,Movie,Zodiac,David Fincher,United States,2007,R,"Cult Movies, Dramas, Thrillers",7.7
6540,Movie,Zombieland,Ruben Fleischer,United States,2009,R,"Comedies, Horror Movies",7.6
7079,TV Show,Baby,Not Given,Italy,2020,TV-MA,"International TV Shows, TV Dramas, Teen TV Shows",8.0
7376,TV Show,Night on Earth,Not Given,United Kingdom,2020,TV-PG,"Docuseries, Science & Nature TV",7.8
7873,TV Show,Warrior,Not Given,Denmark,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",8.2
7954,TV Show,The Innocents,Not Given,United Kingdom,2018,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows",7.8
8672,TV Show,Spartacus,Not Given,United States,2013,TV-MA,"TV Action & Adventure, TV Dramas",7.9
8687,TV Show,Taken,Not Given,France,2018,TV-14,"Crime TV Shows, TV Action & Adventure, TV Thrillers",7.8
8696,TV Show,The Apartment,Not Given,Singapore,2014,TV-PG,"International TV Shows, Reality TV",8.3
8722,TV Show,The Jungle Book,Not Given,India,2010,TV-Y7,Kids' TV,7.6
